ai_050_003/cam_04 0000 0001 0002 0003 0004 0005 0006 0007
ai_034_005/cam_01 0063 0065 0067 0069 0070 0071 0072 0073
ai_051_003/cam_02 0044 0046 0062 0064 0066 0068 0077 0079
ai_011_006/cam_01 0019 0021 0023 0024 0025 0026 0027 0028
ai_003_006/cam_00 0070 0072 0073 0074 0075 0076 0077 0078
ai_043_008/cam_01 0021 0029 0030 0031 0032 0033 0034 0035
ai_029_003/cam_01 0048 0049 0051 0053 0055 0056 0057 0058
ai_010_008/cam_00 0023 0028 0032 0037 0040 0081 0083 0084
ai_055_001/cam_01 0006 0008 0010 0012 0013 0014 0015 0016
ai_022_002/cam_00 0006 0008 0010 0012 0013 0014 0015 0016
ai_048_004/cam_01 0081 0083 0084 0085 0086 0087 0088 0089
ai_043_005/cam_00 0021 0023 0025 0027 0028 0029 0030 0031
ai_045_005/cam_00 0062 0068 0071 0073 0076 0079 0092 0094
ai_035_002/cam_00 0009 0011 0013 0014 0017 0019 0020 0021
ai_009_003/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_045_001/cam_00 0087 0089 0092 0094 0095 0096 0097 0098
ai_030_004/cam_00 0052 0053 0055 0057 0060 0061 0062 0063
ai_008_002/cam_00 0047 0049 0053 0055 0059 0061 0062 0064
ai_034_001/cam_02 0009 0011 0013 0015 0017 0018 0019 0020
ai_029_002/cam_00 0025 0027 0028 0029 0030 0031 0032 0033
ai_046_002/cam_00 0042 0044 0045 0046 0047 0048 0049 0050
ai_029_003/cam_00 0045 0047 0049 0051 0052 0053 0054 0055
ai_019_004/cam_00 0054 0056 0058 0059 0060 0061 0062 0063
ai_013_009/cam_00 0024 0026 0027 0036 0038 0039 0040 0042
ai_054_008/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_046_004/cam_00 0024 0026 0027 0028 0029 0030 0031 0032
ai_027_004/cam_00 0090 0091 0092 0093 0094 0095 0096 0097
ai_035_007/cam_00 0002 0004 0014 0016 0023 0025 0026 0028
ai_054_004/cam_00 0017 0019 0021 0023 0024 0025 0026 0027
ai_044_010/cam_02 0012 0015 0017 0018 0020 0022 0023 0024
ai_044_010/cam_01 0022 0026 0028 0029 0030 0031 0032 0033
ai_036_003/cam_02 0060 0062 0064 0066 0067 0068 0069 0070
ai_016_009/cam_05 0058 0059 0061 0063 0065 0066 0067 0068
ai_011_003/cam_01 0025 0027 0028 0029 0032 0034 0035 0036
ai_029_001/cam_02 0003 0005 0007 0008 0009 0010 0011 0012
ai_003_002/cam_00 0045 0047 0048 0049 0050 0051 0052 0053
ai_050_004/cam_00 0048 0050 0052 0053 0054 0055 0056 0057
ai_017_002/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_018_006/cam_00 0042 0045 0048 0050 0051 0052 0053 0054
ai_046_004/cam_00 0054 0056 0058 0060 0061 0062 0065 0067
ai_002_008/cam_00 0099 0098 0097 0096 0095 0093 0091 0087
ai_032_001/cam_00 0084 0086 0088 0089 0090 0091 0092 0093
ai_044_007/cam_01 0048 0052 0054 0055 0057 0058 0059 0060
ai_027_006/cam_01 0039 0043 0045 0047 0052 0053 0054 0055
ai_011_005/cam_00 0002 0015 0022 0024 0027 0031 0048 0050
ai_027_009/cam_00 0046 0048 0049 0050 0051 0052 0053 0054
ai_045_004/cam_01 0021 0023 0025 0027 0028 0029 0030 0031
ai_016_010/cam_00 0053 0055 0059 0061 0062 0064 0068 0070
ai_048_006/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_017_005/cam_00 0072 0074 0075 0076 0077 0078 0079 0080
ai_055_006/cam_01 0066 0067 0069 0071 0073 0074 0075 0076
ai_003_004/cam_01 0075 0078 0083 0089 0091 0093 0095 0096
ai_042_003/cam_00 0006 0008 0010 0012 0014 0015 0016 0017
ai_003_004/cam_01 0031 0032 0034 0036 0037 0038 0039 0040
ai_021_009/cam_01 0072 0074 0075 0076 0077 0078 0079 0080
ai_042_001/cam_00 0051 0053 0054 0056 0058 0059 0060 0061
ai_003_004/cam_01 0001 0002 0003 0004 0005 0006 0007 0008
ai_018_004/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_048_002/cam_03 0000 0001 0002 0003 0004 0005 0006 0007
ai_004_001/cam_01 0015 0078 0080 0081 0088 0090 0091 0093
ai_029_001/cam_01 0050 0052 0054 0055 0056 0058 0072 0073
ai_021_008/cam_01 0072 0074 0075 0076 0077 0078 0079 0080
ai_043_010/cam_00 0001 0085 0087 0089 0091 0095 0097 0099
ai_009_008/cam_00 0014 0016 0017 0021 0027 0041 0048 0052
ai_037_001/cam_00 0045 0047 0049 0051 0052 0053 0054 0055
ai_017_005/cam_00 0045 0047 0048 0049 0050 0051 0052 0053
ai_001_006/cam_00 0002 0004 0015 0017 0018 0020 0023 0029
ai_011_006/cam_00 0088 0090 0091 0092 0093 0094 0096 0098
ai_053_017/cam_00 0062 0058 0056 0052 0050 0049 0017 0016
ai_034_001/cam_01 0004 0006 0008 0009 0010 0011 0012 0013
ai_047_001/cam_00 0018 0020 0029 0030 0031 0032 0033 0034
ai_048_002/cam_00 0084 0085 0086 0087 0088 0089 0090 0091
ai_054_004/cam_01 0060 0062 0064 0065 0066 0067 0068 0069
ai_007_008/cam_01 0035 0041 0087 0091 0094 0096 0098 0099
ai_045_001/cam_01 0036 0038 0040 0042 0043 0044 0045 0046
ai_036_003/cam_01 0012 0013 0014 0015 0016 0019 0021 0022
ai_054_008/cam_00 0031 0033 0045 0060 0061 0063 0069 0095
ai_017_010/cam_00 0072 0074 0075 0076 0077 0078 0079 0080
ai_038_004/cam_00 0075 0077 0079 0082 0083 0084 0085 0086
ai_001_006/cam_01 0098 0097 0096 0094 0081 0025 0022 0020
ai_037_001/cam_00 0018 0020 0021 0022 0023 0024 0025 0026
ai_017_010/cam_02 0083 0082 0080 0070 0068 0047 0023 0020
ai_037_002/cam_00 0041 0069 0071 0093 0096 0097 0098 0099
ai_027_006/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_001_004/cam_00 0072 0074 0075 0076 0077 0078 0079 0080
ai_036_005/cam_00 0006 0008 0010 0012 0013 0014 0015 0016
ai_036_007/cam_00 0002 0004 0007 0008 0009 0011 0013 0058
ai_012_009/cam_00 0083 0085 0087 0089 0091 0092 0093 0094
ai_018_002/cam_00 0066 0067 0068 0069 0070 0071 0072 0073
ai_013_004/cam_00 0067 0069 0071 0072 0073 0074 0075 0076
ai_044_010/cam_03 0039 0040 0042 0044 0045 0047 0050 0053
ai_001_002/cam_01 0062 0067 0074 0075 0076 0077 0078 0079
ai_027_004/cam_02 0045 0047 0048 0049 0050 0051 0052 0053
ai_012_001/cam_00 0001 0022 0025 0026 0028 0037 0076 0085
ai_018_009/cam_00 0078 0080 0081 0082 0083 0085 0087 0089
ai_037_008/cam_00 0060 0061 0063 0065 0066 0067 0068 0069
ai_039_004/cam_00 0057 0059 0061 0062 0063 0064 0065 0066
ai_045_010/cam_02 0056 0060 0061 0063 0065 0067 0068 0069
ai_048_009/cam_00 0066 0068 0070 0072 0073 0074 0075 0076
ai_045_001/cam_02 0003 0005 0007 0008 0009 0010 0011 0012
ai_027_003/cam_03 0088 0091 0092 0094 0096 0097 0098 0099
ai_023_010/cam_01 0075 0077 0078 0079 0080 0081 0082 0083
ai_009_008/cam_00 0041 0054 0058 0060 0066 0069 0070 0072
ai_048_005/cam_03 0078 0080 0081 0082 0083 0084 0085 0086
ai_050_004/cam_00 0006 0008 0010 0012 0013 0014 0015 0016
ai_023_010/cam_02 0044 0050 0055 0059 0060 0065 0066 0067
ai_048_002/cam_03 0039 0040 0041 0043 0045 0047 0048 0049
ai_051_002/cam_02 0032 0046 0079 0081 0084 0091 0093 0095
ai_007_005/cam_00 0021 0038 0039 0040 0041 0042 0043 0044
ai_043_007/cam_00 0078 0083 0084 0085 0086 0087 0088 0089
ai_035_002/cam_00 0075 0076 0078 0080 0082 0083 0084 0085
ai_017_009/cam_00 0067 0069 0083 0084 0085 0086 0087 0088
ai_017_008/cam_00 0079 0081 0082 0083 0084 0085 0086 0087
ai_022_005/cam_00 0016 0018 0020 0028 0029 0030 0031 0032
ai_006_009/cam_00 0098 0097 0096 0095 0070 0067 0064 0062
ai_045_005/cam_01 0034 0036 0038 0040 0041 0042 0043 0045
ai_045_001/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_003_002/cam_01 0065 0067 0076 0079 0085 0088 0090 0091
ai_017_010/cam_00 0018 0020 0021 0022 0023 0024 0025 0026
ai_054_006/cam_00 0057 0059 0060 0061 0063 0065 0067 0068
ai_053_020/cam_00 0041 0046 0049 0055 0070 0073 0076 0082
ai_011_006/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_050_005/cam_01 0053 0051 0028 0022 0019 0017 0016 0014
ai_039_008/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_054_002/cam_01 0036 0038 0040 0041 0042 0043 0044 0045
ai_054_004/cam_01 0004 0008 0011 0012 0015 0017 0018 0019
ai_050_003/cam_02 0024 0026 0028 0030 0031 0032 0033 0034
ai_006_006/cam_01 0007 0010 0012 0013 0014 0015 0016 0017
ai_012_009/cam_00 0002 0004 0014 0016 0017 0020 0022 0024
ai_051_003/cam_02 0009 0013 0014 0015 0016 0017 0018 0019
ai_041_005/cam_01 0015 0020 0022 0024 0025 0026 0027 0028
ai_027_004/cam_00 0036 0038 0040 0042 0043 0044 0045 0046
ai_022_005/cam_00 0005 0080 0081 0083 0088 0090 0092 0094
ai_011_003/cam_01 0043 0045 0046 0047 0049 0050 0051 0052
ai_008_001/cam_01 0064 0021 0019 0018 0017 0015 0005 0003
ai_011_003/cam_01 0086 0088 0090 0091 0092 0093 0094 0095
ai_050_003/cam_00 0095 0093 0077 0076 0074 0059 0058 0046
ai_042_004/cam_01 0069 0071 0073 0075 0078 0081 0082 0083
ai_001_002/cam_00 0036 0038 0040 0042 0044 0045 0046 0047
ai_012_004/cam_00 0014 0016 0017 0019 0044 0046 0047 0049
ai_030_005/cam_00 0009 0041 0042 0043 0044 0045 0046 0047
ai_011_001/cam_00 0042 0044 0045 0046 0047 0048 0049 0050
ai_054_010/cam_01 0060 0065 0067 0068 0069 0070 0071 0072
ai_044_007/cam_00 0090 0091 0093 0095 0096 0097 0098 0099
ai_023_007/cam_01 0075 0077 0078 0080 0082 0084 0085 0086
ai_039_007/cam_00 0069 0071 0073 0075 0076 0077 0078 0079
ai_048_009/cam_01 0079 0081 0082 0083 0084 0085 0086 0087
ai_035_008/cam_00 0030 0032 0036 0037 0038 0039 0041 0043
ai_007_008/cam_01 0079 0081 0083 0084 0085 0086 0087 0088
ai_006_010/cam_01 0054 0056 0058 0059 0060 0061 0062 0063
ai_037_005/cam_00 0035 0037 0044 0046 0049 0055 0068 0070
ai_050_003/cam_04 0089 0083 0080 0078 0077 0025 0023 0022
ai_012_009/cam_00 0071 0073 0074 0076 0078 0079 0080 0081
ai_011_009/cam_00 0045 0047 0048 0049 0050 0051 0052 0053
ai_027_007/cam_00 0060 0062 0063 0065 0067 0068 0069 0070
ai_045_004/cam_00 0025 0027 0029 0031 0033 0034 0035 0036
ai_053_001/cam_00 0072 0075 0076 0077 0078 0079 0080 0081
ai_045_010/cam_02 0087 0088 0089 0090 0091 0092 0093 0094
ai_050_003/cam_04 0057 0060 0061 0063 0065 0066 0067 0068
ai_031_006/cam_00 0051 0053 0054 0055 0056 0057 0058 0059
ai_029_003/cam_00 0035 0037 0043 0055 0056 0058 0062 0064
ai_007_007/cam_00 0079 0081 0082 0083 0084 0085 0086 0087
ai_050_003/cam_03 0066 0068 0070 0072 0073 0074 0075 0076
ai_023_002/cam_00 0018 0019 0021 0023 0024 0025 0026 0027
ai_011_006/cam_01 0077 0079 0081 0084 0091 0094 0096 0098
ai_017_008/cam_02 0003 0005 0007 0008 0009 0010 0011 0012
ai_013_009/cam_00 0087 0089 0091 0093 0094 0095 0096 0097
ai_008_001/cam_00 0048 0050 0052 0053 0054 0055 0056 0057
ai_013_009/cam_00 0057 0059 0061 0062 0063 0064 0065 0066
ai_008_001/cam_03 0034 0036 0038 0039 0040 0041 0042 0043
ai_019_007/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_012_001/cam_00 0098 0097 0095 0094 0092 0090 0088 0079
ai_008_010/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_042_003/cam_00 0027 0029 0031 0033 0035 0036 0037 0038
ai_009_002/cam_00 0009 0011 0013 0015 0017 0019 0021 0022
ai_007_010/cam_01 0052 0054 0055 0057 0059 0060 0061 0062
ai_032_008/cam_00 0033 0035 0037 0039 0040 0041 0042 0043
ai_011_001/cam_00 0063 0076 0077 0078 0079 0080 0081 0082
ai_044_010/cam_03 0043 0045 0046 0047 0048 0049 0050 0051
ai_050_005/cam_04 0054 0066 0068 0069 0070 0077 0083 0091
ai_003_002/cam_01 0006 0008 0010 0012 0013 0014 0015 0016
ai_030_004/cam_00 0040 0046 0047 0048 0049 0050 0051 0052
ai_042_001/cam_00 0027 0029 0031 0033 0034 0035 0036 0037
ai_045_001/cam_02 0084 0086 0087 0089 0094 0095 0096 0097
ai_042_003/cam_00 0066 0068 0070 0071 0072 0073 0074 0075
ai_027_003/cam_01 0037 0039 0078 0079 0080 0081 0082 0083
ai_026_014/cam_00 0045 0046 0047 0048 0049 0050 0051 0052
ai_050_003/cam_03 0021 0023 0024 0025 0026 0027 0028 0029
ai_001_009/cam_00 0045 0047 0049 0051 0053 0054 0055 0056
ai_019_009/cam_00 0003 0005 0084 0085 0086 0087 0088 0089
ai_029_005/cam_01 0000 0001 0002 0003 0004 0005 0006 0007
ai_004_001/cam_01 0025 0027 0028 0030 0033 0034 0035 0036
ai_008_003/cam_01 0003 0005 0008 0009 0010 0012 0018 0020
ai_008_003/cam_01 0022 0024 0025 0026 0027 0028 0029 0030
ai_023_002/cam_01 0051 0053 0055 0057 0058 0059 0060 0062
ai_023_007/cam_00 0027 0029 0031 0033 0034 0035 0036 0037
ai_048_002/cam_01 0033 0035 0037 0039 0040 0041 0042 0043
ai_027_010/cam_01 0006 0008 0010 0012 0013 0014 0015 0016
ai_055_001/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_047_001/cam_00 0036 0038 0039 0040 0041 0042 0043 0044
ai_028_009/cam_00 0090 0092 0094 0095 0096 0097 0098 0099
ai_006_010/cam_01 0075 0077 0078 0080 0082 0083 0084 0085
ai_017_004/cam_00 0030 0032 0034 0035 0036 0037 0038 0039
ai_001_006/cam_00 0079 0083 0086 0087 0088 0089 0090 0091
ai_048_003/cam_02 0057 0059 0061 0062 0063 0064 0065 0066
ai_053_008/cam_00 0065 0067 0091 0093 0095 0097 0098 0099
ai_019_006/cam_01 0076 0078 0080 0082 0083 0084 0085 0086
ai_032_009/cam_00 0050 0052 0054 0055 0061 0063 0066 0067
ai_001_002/cam_00 0033 0035 0037 0039 0040 0041 0042 0043
ai_048_009/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_008_009/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_050_001/cam_04 0047 0062 0064 0065 0067 0069 0071 0095
ai_027_004/cam_00 0002 0004 0017 0019 0022 0025 0035 0037
ai_006_010/cam_01 0023 0068 0070 0073 0079 0089 0092 0094
ai_048_009/cam_00 0063 0065 0067 0068 0069 0070 0071 0072
ai_021_008/cam_00 0030 0032 0034 0035 0036 0037 0038 0039
ai_009_005/cam_01 0022 0024 0026 0028 0029 0030 0031 0032
ai_019_003/cam_00 0081 0083 0085 0087 0088 0089 0090 0091
ai_013_002/cam_01 0098 0097 0074 0071 0069 0044 0041 0035
ai_029_001/cam_01 0044 0047 0048 0049 0050 0051 0052 0053
ai_043_008/cam_00 0006 0008 0010 0012 0013 0014 0015 0016
ai_010_006/cam_00 0021 0023 0025 0027 0028 0029 0030 0031
ai_029_003/cam_00 0057 0059 0061 0062 0063 0064 0065 0066
ai_002_005/cam_00 0095 0088 0079 0076 0070 0064 0062 0044
ai_017_009/cam_00 0079 0081 0082 0084 0086 0088 0089 0090
ai_011_006/cam_01 0054 0056 0061 0064 0065 0067 0071 0073
ai_026_004/cam_00 0048 0049 0051 0053 0055 0056 0057 0058
ai_027_006/cam_02 0000 0001 0002 0003 0004 0005 0006 0007
ai_030_004/cam_00 0082 0083 0085 0087 0088 0089 0090 0091
ai_048_009/cam_02 0042 0043 0045 0050 0051 0052 0053 0054
ai_051_003/cam_00 0030 0032 0034 0035 0036 0037 0038 0039
ai_043_005/cam_00 0006 0008 0010 0012 0013 0014 0015 0016
ai_006_008/cam_00 0066 0068 0070 0072 0073 0074 0075 0076
ai_003_002/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_039_004/cam_00 0069 0071 0072 0079 0080 0081 0082 0083
ai_027_003/cam_01 0001 0002 0003 0004 0005 0006 0007 0008
ai_044_010/cam_02 0021 0022 0024 0025 0026 0027 0028 0029
ai_054_009/cam_00 0030 0032 0034 0036 0037 0038 0039 0040
ai_014_003/cam_00 0012 0014 0015 0017 0018 0019 0020 0021
ai_044_006/cam_01 0063 0065 0067 0069 0071 0072 0073 0074
ai_037_008/cam_00 0039 0041 0042 0044 0046 0047 0048 0049
ai_054_009/cam_00 0003 0006 0008 0009 0010 0011 0012 0013
ai_048_005/cam_00 0021 0023 0025 0027 0028 0029 0030 0031
ai_011_005/cam_01 0034 0035 0037 0039 0041 0042 0043 0044
ai_048_003/cam_01 0045 0046 0047 0048 0049 0050 0051 0052
ai_036_001/cam_01 0079 0080 0082 0087 0088 0089 0090 0091
ai_042_005/cam_01 0033 0034 0036 0038 0040 0041 0042 0043
ai_018_009/cam_01 0051 0053 0055 0057 0059 0060 0061 0063
ai_052_008/cam_01 0054 0056 0058 0060 0062 0063 0064 0065
ai_042_005/cam_01 0009 0013 0015 0017 0018 0019 0020 0021
ai_037_008/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_045_001/cam_00 0084 0086 0088 0089 0090 0091 0092 0093
ai_016_003/cam_01 0012 0016 0019 0025 0036 0037 0038 0039
ai_052_004/cam_00 0032 0034 0047 0049 0050 0052 0054 0064
ai_003_008/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_004_008/cam_01 0025 0027 0028 0039 0040 0041 0042 0043
ai_008_002/cam_01 0019 0021 0023 0025 0026 0028 0030 0032
ai_002_009/cam_00 0063 0065 0067 0069 0070 0071 0072 0073
ai_019_006/cam_01 0049 0051 0053 0059 0060 0061 0062 0063
ai_044_010/cam_01 0031 0033 0034 0035 0037 0039 0040 0041
ai_018_006/cam_01 0053 0052 0040 0037 0034 0019 0017 0016
ai_029_002/cam_01 0009 0011 0013 0015 0044 0045 0046 0047
ai_009_003/cam_00 0027 0029 0030 0032 0034 0035 0036 0037
ai_006_002/cam_01 0078 0079 0080 0081 0082 0083 0084 0085
ai_006_003/cam_00 0066 0071 0073 0075 0076 0077 0078 0079
ai_014_003/cam_00 0075 0077 0080 0081 0082 0083 0084 0087
ai_043_009/cam_00 0075 0077 0079 0080 0081 0082 0083 0084
ai_037_005/cam_01 0043 0045 0047 0049 0050 0051 0052 0053
ai_004_001/cam_01 0003 0005 0017 0018 0020 0023 0029 0032
ai_004_008/cam_00 0002 0008 0010 0014 0017 0019 0028 0032
ai_006_001/cam_00 0036 0038 0040 0041 0043 0045 0047 0048
ai_018_008/cam_00 0069 0071 0073 0075 0077 0078 0079 0080
ai_050_005/cam_01 0002 0004 0049 0058 0094 0096 0097 0098
ai_004_009/cam_00 0051 0055 0057 0059 0060 0061 0062 0063
ai_028_009/cam_00 0076 0079 0081 0083 0085 0086 0087 0088
ai_052_006/cam_01 0057 0059 0061 0062 0063 0064 0065 0066
ai_054_009/cam_00 0033 0035 0037 0039 0041 0042 0043 0044
ai_017_008/cam_01 0009 0011 0013 0016 0017 0018 0019 0020
ai_035_007/cam_00 0087 0093 0094 0095 0096 0097 0098 0099
ai_001_007/cam_00 0075 0077 0079 0081 0082 0083 0084 0085
ai_021_009/cam_01 0006 0010 0012 0013 0014 0015 0016 0017
ai_019_004/cam_00 0009 0011 0013 0014 0015 0016 0017 0018
ai_029_001/cam_02 0024 0027 0030 0034 0035 0036 0037 0038
ai_053_009/cam_00 0042 0043 0045 0047 0049 0050 0051 0052
ai_008_010/cam_00 0051 0053 0055 0057 0058 0059 0060 0061
ai_043_006/cam_01 0085 0087 0090 0091 0092 0093 0094 0095
ai_011_009/cam_00 0018 0020 0021 0022 0023 0024 0025 0026
ai_050_004/cam_00 0021 0022 0024 0026 0028 0029 0030 0031
ai_015_009/cam_00 0018 0020 0021 0022 0023 0024 0025 0026
ai_003_002/cam_01 0009 0011 0013 0015 0017 0018 0019 0020
ai_048_007/cam_03 0063 0064 0066 0068 0070 0071 0072 0073
ai_008_002/cam_01 0010 0014 0015 0016 0017 0018 0019 0020
ai_023_007/cam_00 0012 0016 0018 0020 0021 0023 0024 0025
ai_018_008/cam_00 0057 0059 0061 0063 0064 0065 0066 0067
ai_050_003/cam_02 0000 0001 0002 0003 0004 0005 0006 0007
ai_050_003/cam_00 0069 0071 0073 0075 0077 0078 0079 0080
ai_012_004/cam_00 0060 0062 0064 0065 0066 0067 0068 0069
ai_054_004/cam_00 0082 0084 0086 0088 0090 0091 0092 0093
ai_047_002/cam_00 0087 0089 0091 0094 0095 0097 0098 0099
ai_050_005/cam_06 0057 0059 0061 0074 0075 0076 0077 0078
ai_003_001/cam_01 0087 0088 0090 0092 0093 0094 0095 0096
ai_017_009/cam_00 0076 0078 0080 0082 0083 0085 0087 0089
ai_036_001/cam_01 0031 0040 0041 0042 0044 0046 0048 0049
ai_018_008/cam_00 0087 0088 0090 0092 0094 0095 0096 0097
ai_050_005/cam_04 0004 0006 0008 0009 0010 0011 0012 0013
ai_027_004/cam_00 0021 0022 0023 0024 0025 0026 0027 0028
ai_019_006/cam_01 0098 0097 0096 0094 0087 0086 0075 0071
ai_011_006/cam_00 0030 0031 0033 0094 0095 0096 0097 0098
ai_003_009/cam_01 0040 0042 0045 0047 0048 0049 0050 0051
ai_043_010/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_006_010/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_030_003/cam_00 0054 0055 0057 0059 0060 0061 0062 0063
ai_043_006/cam_01 0030 0032 0037 0039 0040 0041 0042 0043
ai_001_008/cam_00 0009 0011 0013 0014 0017 0018 0019 0020
ai_044_009/cam_01 0081 0083 0085 0087 0088 0089 0090 0091
ai_005_004/cam_00 0057 0059 0061 0063 0064 0066 0068 0069
ai_027_004/cam_00 0066 0068 0070 0071 0072 0073 0074 0075
ai_033_004/cam_00 0007 0009 0011 0013 0014 0015 0016 0017
ai_041_009/cam_00 0088 0090 0092 0094 0095 0096 0097 0098
ai_001_001/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_003_005/cam_01 0025 0027 0028 0029 0030 0032 0034 0036
ai_048_003/cam_00 0081 0083 0085 0086 0087 0088 0089 0091
ai_052_006/cam_00 0075 0076 0078 0080 0082 0083 0084 0085
ai_048_003/cam_01 0002 0004 0007 0008 0010 0014 0016 0025
ai_050_001/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_044_009/cam_01 0084 0086 0088 0090 0092 0093 0094 0095
ai_045_004/cam_00 0040 0042 0043 0045 0047 0048 0049 0050
ai_055_006/cam_00 0015 0017 0019 0068 0069 0070 0071 0072
ai_006_004/cam_00 0057 0067 0068 0069 0070 0071 0072 0073
ai_007_005/cam_01 0048 0050 0052 0054 0056 0058 0059 0060
ai_013_004/cam_00 0034 0036 0038 0039 0040 0041 0042 0043
ai_030_009/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_017_009/cam_00 0039 0056 0059 0062 0065 0071 0072 0074
ai_005_004/cam_00 0084 0086 0088 0089 0090 0091 0092 0093
ai_009_004/cam_00 0098 0097 0080 0078 0070 0064 0061 0059
ai_043_003/cam_00 0051 0053 0054 0056 0058 0059 0060 0061
ai_006_009/cam_01 0048 0050 0051 0053 0055 0056 0057 0058
ai_026_014/cam_00 0024 0026 0027 0029 0031 0032 0033 0034
ai_050_001/cam_02 0000 0001 0002 0003 0004 0005 0006 0007
ai_016_006/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_027_009/cam_01 0009 0013 0015 0019 0020 0021 0022 0023
ai_016_009/cam_02 0012 0013 0014 0016 0018 0019 0020 0021
ai_016_002/cam_00 0051 0053 0054 0055 0056 0057 0058 0059
ai_043_008/cam_00 0030 0032 0034 0035 0036 0037 0038 0039
ai_004_002/cam_00 0066 0068 0070 0072 0076 0077 0078 0079
ai_036_003/cam_03 0098 0096 0095 0058 0044 0041 0038 0034
ai_016_003/cam_01 0085 0087 0089 0091 0092 0093 0098 0099
ai_043_009/cam_00 0033 0035 0037 0038 0039 0040 0041 0042
ai_017_003/cam_00 0057 0059 0060 0062 0064 0065 0066 0067
ai_021_008/cam_02 0005 0007 0010 0011 0015 0033 0045 0046
ai_026_013/cam_03 0070 0072 0073 0074 0075 0077 0078 0079
ai_011_008/cam_00 0078 0080 0082 0083 0084 0085 0086 0087
ai_055_001/cam_00 0039 0041 0043 0045 0047 0048 0049 0050
ai_013_009/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_005_006/cam_00 0057 0059 0060 0061 0062 0063 0064 0065
ai_036_003/cam_00 0051 0053 0055 0057 0058 0059 0060 0061
ai_036_002/cam_01 0018 0020 0022 0023 0024 0025 0026 0027
ai_008_004/cam_01 0037 0044 0045 0046 0047 0048 0049 0050
ai_029_003/cam_02 0060 0062 0063 0064 0066 0068 0071 0072
ai_050_004/cam_03 0018 0052 0054 0056 0057 0058 0059 0060
ai_052_004/cam_01 0087 0088 0090 0092 0093 0095 0097 0098
ai_054_002/cam_01 0054 0055 0057 0059 0061 0062 0063 0064
ai_052_004/cam_00 0057 0059 0061 0062 0063 0064 0065 0066
ai_043_004/cam_00 0087 0090 0091 0092 0093 0094 0095 0096
ai_051_003/cam_04 0062 0064 0065 0067 0070 0076 0080 0082
ai_003_002/cam_00 0051 0053 0054 0056 0058 0059 0060 0061
ai_017_008/cam_00 0067 0069 0071 0073 0074 0075 0076 0077
ai_054_004/cam_01 0088 0090 0091 0092 0094 0095 0096 0097
ai_006_002/cam_01 0084 0086 0088 0090 0091 0092 0093 0094
ai_006_002/cam_01 0063 0065 0067 0069 0071 0073 0075 0076
ai_051_005/cam_03 0034 0036 0038 0039 0040 0041 0042 0043
ai_039_007/cam_00 0042 0044 0046 0049 0051 0053 0054 0055
ai_023_002/cam_01 0069 0072 0074 0075 0076 0077 0078 0079
ai_016_005/cam_00 0018 0020 0021 0022 0023 0024 0025 0026
ai_036_002/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_004_001/cam_00 0018 0020 0022 0023 0025 0026 0027 0028
ai_016_009/cam_00 0064 0066 0067 0068 0069 0070 0071 0072
ai_048_005/cam_01 0098 0096 0055 0053 0052 0049 0033 0001
ai_044_005/cam_00 0098 0097 0096 0094 0091 0089 0079 0077
ai_044_007/cam_00 0069 0070 0072 0074 0076 0077 0078 0079
ai_032_003/cam_00 0051 0068 0069 0070 0071 0072 0074 0082
ai_006_003/cam_00 0063 0065 0068 0070 0072 0073 0074 0075
ai_002_010/cam_00 0018 0020 0021 0022 0023 0024 0025 0026
ai_009_004/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_023_006/cam_00 0092 0090 0088 0083 0070 0059 0043 0025
ai_029_002/cam_01 0006 0008 0010 0012 0013 0014 0015 0016
ai_002_008/cam_00 0021 0023 0025 0026 0027 0028 0029 0030
ai_042_003/cam_00 0042 0044 0045 0047 0049 0050 0051 0052
